Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
11/28 8:00:00,45.62356884,3.586220833,0.01202744392,0,9.179850659,26.9147,134.1726932,87.51022338,25.0491,21.61336983
11/28 9:00:00,45.63003617,3.586220833,0.002512372445,0,9.179850659,26.9147,140.4725826,87.82922884,33.3988,19.2445538
11/28 10:00:00,37.08176102,3.586220833,0,0,9.179850659,19.4245,128.7189975,87.39140765,25.0491,16.27848986
11/28 11:00:00,41.3966273,3.586220833,0.004529461012,0,9.179850659,26.9147,145.1916506,88.93173244,41.7485,14.51141812
11/28 12:00:00,42.16335584,3.586220833,0,0,9.179850659,26.9147,139.0548571,81.03381762,41.7485,16.2725395
11/28 13:00:00,41.44532503,3.586220833,0,0,9.179850659,26.9147,129.0697081,73.3924514,41.7485,13.92875673
11/28 14:00:00,33.92235411,3.586220833,0,0,9.179850659,19.4245,122.731368,76.58312722,33.3988,12.74944075
11/28 15:00:00,33.92032868,3.586220833,0,0,9.179850659,19.4245,118.9273029,82.88168393,25.0491,10.996519
11/28 16:00:00,34.9636163,3.586220833,0,0,9.179850659,19.4245,131.771795,87.37882917,33.3988,10.99416582
11/28 17:00:00,45.5718402,3.586220833,0.008239850648,0,9.179850659,26.9147,145.5369011,85.02176662,50.0982,10.41693452
11/28 18:00:00,45.57850034,3.586220833,0.002448144427,0,9.179850659,26.9147,144.1338711,79.52724235,50.0982,14.50842871
11/28 19:00:00,45.58724631,3.586220833,0.002823978239,0,9.179850659,26.9147,142.7305894,72.80571584,50.0982,19.82667352
11/28 20:00:00,38.08673957,3.586220833,0,0,9.179850659,19.4245,129.7414491,75.3129938,33.3988,21.02965531
11/28 21:00:00,38.07684344,3.586220833,0,0,9.179850659,19.4245,127.4829564,76.03307823,33.3988,18.05107816
11/28 22:00:00,38.03536938,3.586220833,0,0,9.179850659,19.4245,127.3113243,82.43413649,25.0491,19.82808779
11/28 23:00:00,38.02824862,3.586220833,0,0,9.179850659,19.4245,118.8946328,85.92195905,16.6994,16.27327374
11/29 1095000:00:00,38.83467775,3.586220833,0,0,9.179850659,19.4245,106.4122839,89.39210282,8.3497,8.67048107
11/29 1:00:00,22.072415,3.586220833,0,0,4.58992533,8.1892,106.7752052,95.93165112,3.33988,7.503674047
11/29 2:00:00,14.64965602,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
11/29 3:00:00,14.67395707,0,0,0,1.52997511,7.4902,3.931973399,0,3.33988,0.5920933994
11/29 4:00:00,14.68755872,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
11/29 5:00:00,14.83875226,0,0,0,1.52997511,7.4902,3.931927547,0,3.33988,0.5920475468
11/29 6:00:00,22.18698663,3.586220833,0.001663555509,0,4.58992533,8.1892,107.0542348,98.68453482,8.3497,0.02
11/29 7:00:00,38.14659159,3.586220833,0.007913652548,0,9.179850659,19.4245,116.1771115,93.71070465,16.6994,5.767006873
11/29 8:00:00,45.62034779,3.586220833,0.01199241896,0,9.179850659,26.9147,134.3070604,87.64367072,25.0491,21.61428964
11/29 9:00:00,45.62301033,3.586220833,0,0,9.179850659,26.9147,148.0502079,95.40753823,33.3988,19.24386966
11/29 10:00:00,37.07500887,3.586220833,0,0,9.179850659,19.4245,140.6734501,99.34466762,25.0491,16.27968251
11/29 11:00:00,41.38690409,3.586220833,0.004305341312,0,9.179850659,26.9147,159.4790885,103.2199802,41.7485,14.5106083
11/29 12:00:00,42.15396255,3.586220833,0,0,9.179850659,26.9147,154.7494541,96.72264777,41.7485,16.27830636
11/29 13:00:00,41.43530586,3.586220833,0,0,9.179850659,26.9147,145.2537999,88.99355234,41.7485,14.51174756
11/29 14:00:00,33.90977015,3.586220833,0,0,9.179850659,19.4245,140.7774954,95.20617887,33.3988,12.17251649
11/29 15:00:00,33.90639275,3.586220833,0,0,9.179850659,19.4245,139.5271184,103.4809928,25.0491,10.99702565
11/29 16:00:00,34.95015482,3.586220833,0,0,9.179850659,19.4245,151.0832152,106.6894906,33.3988,10.99492458
11/29 17:00:00,45.5579876,3.586220833,0.007713555414,0,9.179850659,26.9147,164.5736773,103.4798788,50.0982,10.99559847
11/29 18:00:00,45.56506729,3.586220833,0.002319842395,0,9.179850659,26.9147,162.1046687,98.07606091,50.0982,13.93040774
11/29 19:00:00,45.57416569,3.586220833,0.002760517513,0,9.179850659,26.9147,160.0590662,90.1311123,50.0982,19.82975387
11/29 20:00:00,38.21698494,3.586220833,0,0,9.179850659,19.4245,145.5735967,90.5637191,33.3988,21.61107761
11/29 21:00:00,38.19914132,3.586220833,0,0,9.179850659,19.4245,143.3069686,91.85920429,33.3988,18.0489643
11/29 22:00:00,38.12779092,3.586220833,0,0,9.179850659,19.4245,143.4019327,99.10975051,25.0491,19.24308219
11/29 23:00:00,38.01695664,3.586220833,0,0,9.179850659,19.4245,134.2890087,101.3075534,16.6994,16.28205532
11/30 1095024:00:00,38.82636548,3.586220833,0,0,9.179850659,19.4245,119.9775381,102.3796614,8.3497,9.248176732
11/30 1:00:00,22.06742794,3.586220833,0,0,4.58992533,8.1892,118.923169,108.0786296,3.33988,7.504659416
11/30 2:00:00,14.63958715,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
11/30 3:00:00,14.66211262,0,0,0,1.52997511,7.4902,3.931927396,0,3.33988,0.5920473965
11/30 4:00:00,14.67623228,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
11/30 5:00:00,14.82816464,0,0,0,1.52997511,7.4902,3.931933339,0,3.33988,0.5920533391
11/30 6:00:00,22.18001488,3.586220833,0.002088033051,0,4.58992533,8.1892,109.3138397,100.9441397,8.3497,0.02
11/30 7:00:00,38.145518,3.586220833,0.01013953261,0,9.179850659,19.4245,113.6069922,91.13955237,16.6994,5.768039782
11/30 8:00:00,45.61932862,3.586220833,0.01270128708,0,9.179850659,26.9147,127.6510352,81.57121941,25.0491,21.0307158
11/30 9:00:00,45.62714689,3.586220833,0.002907305013,0,9.179850659,26.9147,129.9445692,76.71602966,33.3988,19.82973958
11/30 10:00:00,37.08138966,3.586220833,0,0,9.179850659,19.4245,120.8848912,79.55740454,25.0491,16.27838665
11/30 11:00:00,41.39419035,3.586220833,0.004627487867,0,9.179850659,26.9147,142.4419415,86.18119666,41.7485,14.51224486
11/30 12:00:00,42.16045977,3.586220833,0,0,9.179850659,26.9147,135.6214673,77.59837982,41.7485,16.27458751
11/30 13:00:00,41.44376589,3.586220833,0,0,9.179850659,26.9147,125.2423697,68.9827284,41.7485,14.51114134
11/30 14:00:00,33.91888928,3.586220833,0,0,9.179850659,19.4245,117.6666899,72.0952924,33.3988,12.17259755
11/30 15:00:00,33.91696019,3.586220833,0,0,9.179850659,19.4245,111.5556731,75.50922436,25.0491,10.9973487
11/30 16:00:00,34.96094625,3.586220833,0,0,9.179850659,19.4245,121.026012,76.63170835,33.3988,10.9955037
11/30 17:00:00,45.56927279,3.586220833,0.008655540866,0,9.179850659,26.9147,135.9838179,74.88918112,50.0982,10.99643673
11/30 18:00:00,45.576948,3.586220833,0.002612381794,0,9.179850659,26.9147,134.9564565,70.34655576,50.0982,14.51170075
11/30 19:00:00,45.58657021,3.586220833,0.003007918653,0,9.179850659,26.9147,132.9492239,63.60892572,50.0982,19.24209821
11/30 20:00:00,38.22893522,3.586220833,0,0,9.179850659,19.4245,118.1595605,63.14980115,33.3988,21.61095931
11/30 21:00:00,38.21024079,3.586220833,0,0,9.179850659,19.4245,113.5153188,62.06680518,33.3988,18.04971364
11/30 22:00:00,38.13884014,3.586220833,0,0,9.179850659,19.4245,115.6957867,70.81527313,25.0491,19.83141357
11/30 23:00:00,38.02675258,3.586220833,0,0,9.179850659,19.4245,111.5997246,78.62659947,16.6994,16.27372511
12/1 1095048:00:00,38.8323271,3.586220833,0,0,9.179850659,19.4245,103.4996514,86.48078168,8.3497,8.669169751
12/01 1:00:00,22.07135191,3.586220833,0,0,4.58992533,8.1892,109.499691,98.65589234,3.33988,7.503918667
12/01 2:00:00,14.64686266,0,0,0,1.52997511,7.4902,3.931924873,0,3.33988,0.5920448731
12/01 3:00:00,14.66946921,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
12/01 4:00:00,14.68100454,0,0,0,1.52997511,7.4902,3.93193082,0,3.33988,0.5920508198
12/01 5:00:00,15.34512156,0,0,0,1.52997511,7.4902,3.35988,0,3.33988,0.02
12/01 6:00:00,22.69485099,3.586220833,0.004276792627,0,4.58992533,8.1892,125.55654,117.18684,8.3497,0.02
12/01 7:00:00,38.36623588,3.586220833,0.0075152647,0,9.179850659,19.4245,133.9201354,111.4530277,16.6994,5.767707701
12/01 8:00:00,45.60792598,3.586220833,0.009260312931,0,9.179850659,26.9147,152.4126553,105.7528952,25.0491,21.61066007
12/01 9:00:00,45.61332091,3.586220833,0,0,9.179850659,26.9147,161.7160576,108.4864583,33.3988,19.83079935
12/01 10:00:00,37.06700187,3.586220833,0,0,9.179850659,19.4245,151.9202684,110.5964385,25.0491,16.27472992
12/01 11:00:00,41.37996918,3.586220833,0.004180094379,0,9.179850659,26.9147,170.619308,114.3597422,41.7485,14.51106583
12/01 12:00:00,42.14807454,3.586220833,0,0,9.179850659,26.9147,165.9528763,108.5074947,41.7485,15.69688153
12/01 13:00:00,41.42608075,3.586220833,0,0,9.179850659,26.9147,158.0283095,101.7688952,41.7485,14.51091431
12/01 14:00:00,33.9014252,3.586220833,0,0,9.179850659,19.4245,154.190821,108.042047,33.3988,12.74997401
12/01 15:00:00,33.90084555,3.586220833,0,0,9.179850659,19.4245,152.4393514,116.3947517,25.0491,10.99549968
12/01 16:00:00,36.00518268,3.586220833,0,0,9.179850659,19.4245,163.6834403,119.2884385,33.3988,10.99620184
12/01 17:00:00,45.55150517,3.586220833,0.007529240705,0,9.179850659,26.9147,177.0980302,116.0044085,50.0982,10.99542168
12/01 18:00:00,45.55761916,3.586220833,0.002196111968,0,9.179850659,26.9147,176.4423095,112.1512663,50.0982,14.19284313
12/01 19:00:00,45.56699104,3.586220833,0.002713058715,0,9.179850659,26.9147,174.5656108,104.9007939,50.0982,19.5666169
