Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 11/12  04:00:00,31.4895425701,4.67575200674,0.258862357796,0.608473686043,8.34152022915,10.0650221343,35.1080627357,29.3425115096,0.0,5.76555122607
 11/12  05:00:00,33.1087880542,4.66332487883,0.161499629169,0.730710264436,8.34152022915,11.6705166398,37.6256742074,31.8516430891,0.0,5.77403111832
 11/12  06:00:00,37.2431329555,4.65906646797,0.132239742743,0.740083962861,8.80141237637,15.3678112995,35.9778084461,30.1956060405,0.0,5.78220240561
 11/12  07:00:00,57.5655420181,4.71865152323,0.574025040011,0.584153152121,18.5082010057,25.6353820695,41.2470158282,29.6688641421,0.0,11.5781516862
 11/12  08:00:00,75.1454647985,4.89665023272,1.87737821857,0.227026944541,19.4926561212,41.1001056674,46.2452763805,28.7618179368,0.0,17.4834584437
 11/12  09:00:00,100.833074814,5.09893151948,3.72505465072,0.106588748575,26.3286599382,57.9988325916,71.2382633698,23.4199534798,0.0,47.81830989
 11/12  10:00:00,78.5912190295,4.92940927791,4.45529877096,0.114343146253,26.2443270014,42.8153538416,76.8838966334,23.2568890022,18.025,35.6020076312
 11/12  11:00:00,53.5939159508,4.73197403853,3.17337849331,0.471561831728,21.7447113004,23.4437158914,78.2687367122,24.7952246022,18.025,35.44851211
 11/12  12:00:00,51.112369979,4.70277488451,2.94758560668,0.647411342584,19.3449162599,23.4437158914,72.6343147881,25.1553241944,18.025,29.4539905937
 11/12  13:00:00,51.0850090866,4.69599804233,2.71469820012,0.717915678284,19.190480192,23.7425572507,72.8905464698,25.4982950446,18.025,29.3672514253
 11/12  14:00:00,51.0708087467,4.69261411706,2.63860031501,0.757078817746,19.260583323,23.698576057,64.8137249043,23.2990201212,18.025,23.4897047831
 11/12  15:00:00,51.117338062,4.69922995433,2.68403825219,0.751550386415,19.260583323,23.698576057,70.4084635322,23.0190061081,18.025,29.3644574241
 11/12  16:00:00,50.7561962208,4.6840626445,2.57124748537,0.808319253775,19.260583323,23.4086260847,66.4407942579,24.9240945393,18.025,23.4916997186
 11/12  17:00:00,60.0224114526,4.67506745371,1.67943324417,0.872004930484,19.260583323,27.8781056672,49.712489789,25.9138637749,18.025,5.77362601413
 11/12  18:00:00,69.538858531,4.74922205006,0.763191139385,0.723878031585,18.1807569449,37.5792895564,39.6829177986,28.138657373,0.0,11.5442604256
 11/12  19:00:00,84.1078482605,4.87837902346,1.67135938511,0.361780479062,32.6059821062,37.0465235296,37.7444345739,31.9542548448,0.0,5.79017972908
 11/12  20:00:00,84.7956246762,4.96226051203,2.24146789457,0.164107636335,36.8143715336,33.066984531,49.2534586947,31.8753963649,0.0,17.3780623298
 11/12  21:00:00,90.9631260757,5.07315789703,2.95126703295,0.15141081939,36.43363367,38.8072253906,44.3469304366,32.7548874198,0.0,11.5920430168
 11/12  22:00:00,88.6318623506,5.08229262402,2.96502472836,0.153964216277,36.0963922311,36.7877557581,44.591063972,32.9975129803,0.0,11.5935509917
 11/12  23:00:00,65.9171110683,4.89773017403,1.72680749236,0.181368981092,30.9507766546,20.6087787026,52.0016948216,34.5183541386,0.0,17.483340683
 11/12  24:00:00,42.7166288426,4.74985830124,0.718612381832,0.572338448169,17.4250845679,11.7056064465,46.8902514376,35.3119715611,0.0,11.5782798765
 11/13  01:00:00,35.2558312839,4.71140196816,0.43059042467,0.866360197601,11.6412384099,10.0650221343,42.251887264,36.4783646596,0.0,5.77352260443
 11/13  02:00:00,33.6412243358,4.68451068164,0.229476811553,1.04064510789,10.0992000411,10.047477231,42.8595674039,37.0938539815,0.0,5.76571342238
 11/13  03:00:00,31.8105826604,4.67131584282,0.122211165506,1.1900217254,8.25718729233,10.0299323277,43.062365979,37.296909527,0.0,5.76545645206
 11/13  04:00:00,32.0609961841,4.67162728822,0.086548095529,1.47578770968,8.25718729233,10.0299323277,43.5587298208,37.7935431881,0.0,5.7651866327
 11/13  05:00:00,34.0383136394,4.67656776875,0.0684462329281,1.85946699638,8.25718729233,11.6354268332,44.5365974787,38.7629114523,0.0,5.77368602637
 11/13  06:00:00,41.8424408327,4.68114818675,0.0713603114949,2.07585809549,12.1011305571,15.3678112995,50.7147665298,39.1371198291,0.0,11.5776467007
 11/13  07:00:00,71.83412496,4.86569234812,1.54563834846,0.879479547016,19.7275818095,37.2640762949,56.3124813778,38.8302473005,0.0,17.4822340774
 11/13  08:00:00,91.3932940598,5.02626284944,2.69574227159,0.523086155974,24.3117294858,51.2795993405,60.9824352279,37.5414986661,0.0,23.4409365618
 11/13  09:00:00,78.7644079992,4.76278817382,1.07985771822,1.04960123847,23.6694662846,40.6342015617,65.3483191222,29.7420744569,0.0,35.6062446653
 11/13  10:00:00,67.9136908048,4.7306494125,2.68477743613,1.17000142155,23.6694662846,35.6302164847,81.8092551656,28.3434592034,18.025,35.4407959622
 11/13  11:00:00,51.0398067167,4.68224391064,2.35017183114,2.27620305193,18.7433767983,22.9618409725,76.4572184126,28.975055651,18.025,29.4571627617
 11/13  12:00:00,51.7178060464,4.69679008976,2.37946836925,2.91296917245,18.7433767983,22.9618409725,75.4413466639,28.0491236704,18.025,29.3672229934
 11/13  13:00:00,51.6349112499,4.69822700736,2.2637396438,2.90091801313,18.5889407304,23.1597249699,67.3752597999,25.8534166024,18.025,23.4968431975
 11/13  14:00:00,51.9336439109,4.70082886138,2.27021834251,2.94406881538,18.7433767983,23.2517909448,71.0920964412,23.7086449453,18.025,29.3584514959
 11/13  15:00:00,52.1519859733,4.70574189898,2.28208482808,3.14562886027,18.7433767983,23.2517909448,71.2042154306,23.8116046859,18.025,29.3676107447
 11/13  16:00:00,52.0186087194,4.70984901098,2.27637983506,3.30380339275,18.7433767983,22.9618409725,67.5630002933,26.0482884437,18.025,23.4897118496
 11/13  17:00:00,61.1506853251,4.70846026057,1.48372607505,3.12658158988,18.7433767983,27.431320555,50.1368893428,26.338086377,18.025,5.77380296572
 11/13  18:00:00,72.4771198253,4.72459487253,0.492847208376,1.35514742405,17.6635504202,40.6971502883,39.5390873443,27.9780879361,0.0,11.5609994082
 11/13  19:00:00,79.2652550102,4.80727275659,1.11295619393,0.934766423562,27.5259009287,37.3340067412,49.7931986685,32.3355782531,0.0,17.4576204155
 11/13  20:00:00,81.9175762002,4.8729006672,1.60066361097,0.708995169869,33.8341110165,33.3544677425,44.3808998353,32.7877787749,0.0,11.5931210604
 11/13  21:00:00,90.7202331452,4.99530459395,2.4624437094,0.373311421814,36.5179666069,38.8247702939,45.1972913474,33.6060005361,0.0,11.5912908112
 11/13  22:00:00,85.3479947845,5.02478984043,2.62030449101,0.32796933538,32.965339924,36.8579353714,52.334011652,34.8505457574,0.0,17.4834658947
 11/13  23:00:00,60.5943356956,4.82337136157,1.21835992277,0.72542240767,25.6355707503,20.6438685092,53.8258696369,36.4183960886,0.0,17.4074735483
 11/13  24:00:00,40.418773465,4.68697805603,0.234092899623,1.22428455574,15.0252895274,11.7056064465,43.6275903544,37.8452603814,0.0,5.78232997292
 11/14  01:00:00,35.9745239329,4.68473148506,0.119901869313,1.92240928233,11.6412384099,10.0650221343,44.6994728056,38.925690106,0.0,5.77378269961
 11/14  02:00:00,35.5011220093,4.7034435022,0.0822668941527,3.02881822274,10.0992000411,10.047477231,46.1738249983,40.408191492,0.0,5.76563350628
 11/14  03:00:00,34.5979786921,4.72086975548,0.0518696460433,3.99820320931,8.25718729233,10.0299323277,47.9642244112,42.1988400456,0.0,5.76538436561
 11/14  04:00:00,35.1559219829,4.73420591704,0.0400336443821,4.55464670338,8.25718729233,10.0299323277,48.9024312998,43.1373097631,0.0,5.76512153674
 11/14  05:00:00,37.3979183068,4.74617143355,0.0347532307255,5.18315844903,8.25718729233,11.6354268332,50.7385519917,44.9645548187,0.0,5.77399717302
 11/14  06:00:00,45.1543875332,4.74858233088,0.0332786628595,5.35844730009,12.1011305571,15.3678112995,57.232050908,45.6555923189,0.0,11.5764585891
 11/14  07:00:00,71.7969684589,4.75761057687,0.659925159694,1.83611058964,19.7275818095,37.2640762949,63.0836869023,45.5991708839,0.0,17.4845160185
 11/14  08:00:00,91.4134166289,4.95180760157,2.13992801039,1.17346980408,24.3117294858,51.2795993405,66.9049857436,43.4625194568,0.0,23.4424662868
 11/14  09:00:00,79.8451936782,4.71444473069,0.31272709428,2.94585266959,23.6694662846,40.6342015617,78.8080543239,37.2670095702,0.0,41.5410447538
 11/14  10:00:00,69.722448318,4.72861446249,2.110389934,3.55517819337,23.6694662846,35.6302164847,83.2879996701,35.7217231254,18.025,29.5412765447
 11/14  11:00:00,53.3054086986,4.73549448868,2.19154924566,4.64717301258,18.7433767983,22.9618409725,81.6029442347,34.1210484382,18.025,29.4568957965
 11/14  12:00:00,53.0159964486,4.74236936979,2.3634684103,4.18157760168,18.7433767983,22.9618409725,79.3989551118,32.0043514021,18.025,29.3696037097
 11/14  13:00:00,52.6986434484,4.75684954415,2.39662327787,3.77314036849,18.5889407304,23.1597249699,75.8214475176,28.4285192803,18.025,29.3679282373
 11/14  14:00:00,53.0041003652,4.7683474766,2.54352093527,3.67370312247,18.7433767983,23.2517909448,67.9576185319,26.4396929866,18.025,23.4929255453
 11/14  15:00:00,52.9475870554,4.76802479629,2.58193314965,3.57909702033,18.7433767983,23.2517909448,73.0546012541,25.6665468003,18.025,29.3630544538
 11/14  16:00:00,52.5359115275,4.74647511441,2.41257405572,3.64828063986,18.7433767983,22.9618409725,73.1525754812,28.1425282659,18.025,26.9850472153
 11/14  17:00:00,61.9968004858,4.72973809686,1.3886823602,4.04646245625,18.7433767983,27.431320555,56.2802481101,30.1500214254,18.025,8.10522668468
 11/14  18:00:00,73.9784788785,4.76849110284,0.628844517408,2.67661322909,17.6635504202,40.6971502883,39.0719044397,33.2812658181,0.0,5.79063862162
 11/14  19:00:00,80.4690353227,4.80290956142,0.865248988269,2.39061162294,27.5259009287,37.3340067412,59.8488813352,42.3905501006,0.0,17.4583312347
 11/14  20:00:00,82.63207952,4.83810969057,1.15221043807,1.90673690015,33.8341110165,33.3544677425,56.392922186,44.7975567591,0.0,11.5953654269
 11/14  21:00:00,91.0255762955,4.94251858021,1.94837976002,1.24549952236,36.5179666069,38.8247702939,58.7071410728,47.1132049892,0.0,11.5939360836
 11/14  22:00:00,85.672792911,4.97103180105,2.12285367867,1.20396942671,32.965339924,36.8579353714,71.6805711669,48.3763274796,0.0,23.3042436874
 11/14  23:00:00,61.7480166209,4.79284952357,0.788897878755,2.33908305589,25.6355707503,20.6438685092,62.2584062626,50.6464198938,0.0,11.6119863688
 11/14  24:00:00,44.3588792458,4.75460484456,0.0914444830117,5.2394077247,15.0252895274,11.7056064465,58.6115547734,52.8291994394,0.0,5.78235533403
 11/15  01:00:00,41.4785637083,4.79488989146,0.0419095953216,7.39427942768,11.6412384099,10.0650221343,66.9545658417,55.4265236519,0.0,11.5280421898
 11/15  02:00:00,40.9185254179,4.81475327608,0.0353076317492,8.38187020255,10.0992000411,10.047477231,55.7000215094,55.6800215094,0.0,0.02
 11/15  03:00:00,39.6651587033,4.82706755903,0.0292688364174,8.98178501999,8.25718729233,10.0299323277,60.5139091964,54.7482141345,0.0,5.76569506197
 11/15  04:00:00,41.1220736585,4.85337437817,0.0223339394989,10.4193274439,8.25718729233,10.0299323277,64.4041883721,58.6387367858,0.0,5.76545158626
 11/15  05:00:00,44.2691494444,4.88228593337,0.0156473642578,11.9373790185,8.25718729233,11.6354268332,68.5842309684,62.8108684503,0.0,5.77336251817
 11/15  06:00:00,51.3559860227,4.87145227113,0.0153474967183,11.455102415,12.1011305571,15.3678112995,71.3465318998,59.7677496484,0.0,11.5787822514
 11/15  07:00:00,76.5178839642,4.79838006887,0.194599438192,6.98157630534,19.7275818095,37.2640762949,74.1423889077,56.6599249102,0.0,17.4824639975
