Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 05/30  11:00:00,59.2718417958,4.40244694023,15.8606627779,0.0,9.17985065927,26.9147,52.7415389743,0.0,41.7485,10.9930389743
 05/30  12:00:00,62.6946138138,4.40244694023,19.9020692039,0.0,9.17985065927,26.9147,50.997875011,0.0,41.7485,9.24937501096
 05/30  13:00:00,54.8540583468,4.40244694023,19.6182231447,0.0,9.17985065927,19.4245,41.486630327,0.0,33.3988,8.08783032695
 05/30  14:00:00,52.8918546117,4.40244694023,17.6469772743,0.0,9.17985065927,19.4245,31.9767303644,0.0,25.0491,6.92763036441
 05/30  15:00:00,51.5673364069,4.40244694023,16.3156543897,0.0,9.17985065927,19.4245,40.9024219431,0.0,33.3988,7.50362194308
 05/30  16:00:00,60.880475502,4.40244694023,18.1362182177,0.0,9.17985065927,26.9147,57.0233984772,0.0,50.0982,6.92519847718
 05/30  17:00:00,61.9815495072,4.40244694023,19.2895340449,0.0,9.17985065927,26.9147,59.3475808568,0.0,50.0982,9.24938085676
 05/30  18:00:00,62.7603231551,4.40244694023,20.0971452062,0.0,9.17985065927,26.9147,62.8500251421,0.0,50.0982,12.7518251421
 05/30  19:00:00,52.0486687876,4.40244694023,16.8953827645,0.0,9.17985065927,19.4245,47.3236255725,0.0,33.3988,13.9248255725
 05/30  20:00:00,50.2159208651,4.40244694023,14.041770528,0.0,9.17985065927,19.4245,44.9813657596,0.0,33.3988,11.5825657596
 05/30  21:00:00,49.8942862155,4.40244694023,10.6236153909,0.0,9.17985065927,19.4245,37.8018788859,0.0,25.0491,12.7527788859
 05/30  22:00:00,46.6997117886,4.40244694023,7.45519883969,0.0,9.17985065927,19.4245,27.1146469302,0.0,16.6994,10.4152469302
 05/30  23:00:00,43.6553130071,4.40244694023,3.6810007901,0.0,9.17985065927,19.4245,14.6945735144,0.0,8.3497,6.34487351438
 05/30  24:00:00,23.2612984318,4.40244694023,0.0,0.0,4.58992532963,8.1892,8.07684001425,0.12232495458,3.33988,4.61463505967
 05/31  01:00:00,15.0237175709,0.0,0.0,0.0,1.52997510988,7.4902,3.93192924766,0.0,3.33988,0.592049247662
 05/31  02:00:00,15.0239396579,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 05/31  03:00:00,15.0266443591,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 05/31  04:00:00,15.1985907246,0.0,0.0,0.0,1.52997510988,7.4902,3.93193518127,0.0,3.33988,0.592055181268
 05/31  05:00:00,23.3992022051,4.40244694023,0.0476274797977,0.0,4.58992532963,8.1892,8.69074598696,0.321045986957,8.3497,0.02
 05/31  06:00:00,37.2348324166,4.40244694023,0.0518619307078,0.0,9.17985065927,19.4245,20.735311649,0.0,16.6994,4.03591164901
 05/31  07:00:00,43.5258627407,4.40244694023,0.987847835871,0.0,9.17985065927,26.9147,38.9706994448,0.0,25.0491,13.9215994448
 05/31  08:00:00,47.6046139527,4.40244694023,5.02492404824,0.0,9.17985065927,26.9147,46.1499767318,0.0,33.3988,12.7511767318
 05/31  09:00:00,43.2315749609,4.40244694023,8.08738728908,0.0,9.17985065927,19.4245,35.4645541614,0.0,25.0491,10.4154541614
 05/31  10:00:00,55.0823176339,4.40244694023,12.3968501323,0.0,9.17985065927,26.9147,50.9989778105,0.0,41.7485,9.25047781046
